Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS1|2020-03-31 00:00:00|Воронежская область,город Воронеж, бульвар Победы, дом 22а|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10|2020-03-31 00:00:00|Приморский край,город Владивосток, проспект Красного Знамени, дом 59|ПН-ПТ 09:00-19:00, СБ 10:00-16:30, ВС выходной|НЕТ
PS101|2020-03-31 00:00:00|г Москва, Старопетровский проезд, дом 1 строение 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS102|2020-03-31 00:00:00|г Москва, Тимирязевский район , Дмитровское шоссе, дом 65 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS103|2020-03-31 00:00:00|г Москва, Коровинское шоссе, дом 20 корпус 1|ПН-ПТ 08:30-19:30, СБ 09:00-15:30, ВС выходной|НЕТ
PS105|2020-03-31 00:00:00|г Москва, Чертаново Южное район ,улица Академика Янгеля, дом 4 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS107|2020-03-31 00:00:00|г Москва, Лубянский проезд, дом 17|ПН-ПТ 10:00-20:00, СБ-ВС выходной|НЕТ
PS109|2020-03-31 00:00:00|Московская область,город Королёв, мкр Юбилейный,улица М.К.Тихонравова, дом 36|ПН-ПТ 09:00-18:30, СБ 10:00-15:00, ВС выходной|НЕТ
PS11|2020-03-31 00:00:00|Иркутская область,город Иркутск, Кировский район ,улица Нижняя Набережная, дом 10|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS110|2020-03-31 00:00:00|Тульская область,город Тула,улица Вильямса, дом 22|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS111|2020-03-31 00:00:00|Тульская область,город Тула, Центральный район , поселок Южный,улица Автомобилистов, дом 26|ПН-ПТ 08:00-18:30, СБ 09:00-14:00, ВС выходной|НЕТ
PS112|2020-03-31 00:00:00|Ивановская область,город Иваново, проспект Ленина, дом 116|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
