Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8592/01|2020-09-28 03:14:26|г Белгород,улица Князя Трубецкого, дом 24|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8592/010|2021-02-01 14:11:51|г Белгород,улица Некрасова, дом 5Б/8|ПН-ПТ 09:00-18:00, СБ 10:00-13:30, ВС выходной
8592/0100|2020-09-25 10:59:46|Белгородская область,город Алексеевка, пер 1-й Мостовой, дом 2|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной
8592/012|2021-02-01 14:11:51|г Белгород,улица Железнякова, дом 18А|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8592/0127|2021-02-24 17:08:57|Белгородская область,город Бирюч,улица Карла Маркса, дом 4|ПН-ПТ 08:00-16:30, СБ 08:30-13:30, ВС выходной
8592/014|2021-02-01 14:11:51|г Белгород, проспект Б.Хмельницкого, дом 160|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8592/0141|2021-05-12 12:41:30|Белгородская область,город Алексеевка,улица Ст.Разина, дом 56|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8592/016|2021-06-21 15:41:13|г Белгород,улица Апанасенко, дом 97|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8592/017|2021-10-27 09:13:36|г Белгород,улица Буденного, дом 2А|ПН-ПТ 09:00-17:30, СБ 09:30-13:30, ВС выходной
8592/018|2021-12-13 14:19:30|г Белгород, бульвар Юности, дом 10|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8592/020|2021-05-12 12:42:37|г Белгород,улица Костюкова, дом 63|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0200|2021-02-24 17:08:56|Белгородская область,город Валуйки,улица М.Горького, дом 31А|ПН-ПТ 08:15-16:45, СБ 09:00-14:00, ВС выходной
8592/0201|2021-06-21 15:41:13|Белгородская область,город Валуйки,улица 1 Мая, дом 30А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/0211|2021-09-21 12:27:15|Белгородская область, Валуйский район , пгт Уразово,улица Красная площадь, дом 4А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0217|2021-02-24 17:08:37|Белгородская область, п Вейделевка,улица Центральная, дом 17А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/0227|2021-10-27 09:13:36|Белгородская область, п Ровеньки,улица Кирова, дом 22|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/027|2021-09-21 12:27:15|Белгородская область, Белгородский район , пгт Северный,улица Олимпийская, дом 20А|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8592/03|2021-02-01 14:11:51|г Белгород, проспект Белгородский, дом 54|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8592/030|2020-11-03 09:55:58|Белгородская область, Белгородский район , пгт Разумное, проспект Ленина, дом 6А|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8592/0300|2021-02-24 17:08:54|Белгородская область,город Губкин,улица Севастопольская, дом 2Б|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной
8592/0315|2021-10-27 09:13:36|Белгородская область,город Губкин,улица Дзержинского, дом 80|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8592/0317|2021-05-12 12:42:37|Белгородская область,город Губкин,улица Королева, дом 14А|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной
8592/0319|2021-02-24 17:08:54|Белгородская область,город Губкин,улица Мира, дом 20|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8592/032|2021-10-27 09:13:36|Белгородская область, Белгородский район , п Дубовое,улица Зеленая, дом 16|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8592/0320|2020-11-03 09:55:58|Белгородская область, пгт Прохоровка,улица Красноармейская, дом 2|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной
8592/035|2021-09-21 12:27:14|Белгородская область, Белгородский район , п Майский,улица Кирова, дом 14А|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8592/04|2020-12-24 14:56:45|г Белгород,улица Победы, дом 124|ПН-ПТ 09:00-18:00, СБ 10:00-13:00, ВС выходной
8592/040|2021-10-27 09:13:36|Белгородская область, Белгородский район , пгт Октябрьский,площадь Островского, дом 2Б|ПН выходной, ВТ-СБ 08:30-17:00, ВС выходной
8592/0400|2021-02-24 17:08:46|Белгородская область,город Новый Оскол,площадь Центральная, дом 5|ПН-ПТ 08:30-17:00, СБ 08:30-12:30, ВС выходной
8592/0414|2021-02-24 17:08:36|Белгородская область, п Чернянка,улица Октябрьская, дом 1А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0428|2021-10-27 09:13:36|Белгородская область, п Волоконовка,улица Ленина, дом 18|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/047|2021-02-01 14:11:51|г Белгород, бульвар Народный, дом 89|ПН-ПТ 08:00-17:00, СБ 09:00-14:00, ВС выходной
8592/0503|2020-11-03 09:55:58|Белгородская область, Ракитянский район , п Пролетарский, пер Почтовый, дом 6|ПН выходной, ВТ-ПТ 08:00-17:30, СБ 08:00-15:30, ВС выходной
8592/0506|2021-09-21 12:27:14|Белгородская область, п Красная Яруга,улица Центральная, дом 21|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/0513|2021-05-12 12:42:36|Белгородская область,город Грайворон,улица Ленина, дом 14А|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8592/052|2021-02-01 14:11:51|г Белгород,улица Королева, дом 2Г|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8592/0521|2020-11-03 09:55:58|Белгородская область, п Борисовка,улица Первомайская, дом 27|ПН-ПТ 08:00-16:30, СБ 08:00-12:00, ВС выходной
8592/0527|2020-11-03 09:55:58|Белгородская область, п Ракитное,улица Пролетарская, дом 2А|ПН-ПТ 08:00-16:30, СБ 08:30-13:30, ВС выходной
8592/0528|2020-11-03 09:55:58|Белгородская область,рабочий поселок Ивня,улица Ленина, дом 10|ПН-ПТ 08:00-17:00, СБ 08:30-12:30, ВС выходной
8592/053|2021-02-01 14:11:51|г Белгород,улица Губкина, дом 17А|ПН-ПТ 09:00-17:30, СБ 09:00-14:00, ВС выходной
8592/055|2021-12-13 14:19:30|Белгородская область, Белгородский район , мкр Пригородный (п Дубовое),улица Щорса, дом 64|ПН-ВС 10:00-20:00
8592/056|2021-02-24 17:08:42|Белгородская область,город Строитель,улица Ленина, дом 21|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8592/057|2021-09-21 12:25:25|Белгородская область,город Строитель, пер Октябрьский, дом 1|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/06|2020-09-28 03:14:26|г Белгород,улица Мичурина, дом 31|ПН-ПТ 09:00-18:00, СБ 09:30-13:00, ВС выходной
8592/0600|2021-02-24 17:08:42|Белгородская область,город Старый Оскол,улица Ленина, дом 49/44|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной
8592/061|2021-02-24 17:08:36|Белгородская область, Яковлевский район , п Томаровка,улица Ватутина, дом 13|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0616|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Горняк, дом 15|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8592/0617|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Лебединец, дом 3|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
8592/0620|2021-05-13 18:23:33|Белгородская область,город Старый Оскол, мкр Королева, дом 28А|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8592/0621|2021-10-27 09:13:35|Белгородская область,город Старый Оскол, мкр Жукова, дом 39|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8592/0622|2021-02-24 17:08:43|Белгородская область,город Старый Оскол, мкр Восточный, дом 2А|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8592/0625|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Ольминского, дом 17|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной
8592/0628|2021-06-21 15:42:35|Белгородская область,город Старый Оскол, мкр Макаренко, дом 4Г|ПН-ПТ 08:30-18:00, СБ 09:30-14:00, ВС выходной
8592/0700|2021-02-24 17:08:38|Белгородская область,город Шебекино,улица Ленина, дом 71|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной
8592/0721|2021-02-24 17:08:38|Белгородская область,город Шебекино,улица Ленина, дом 9|ПН-ПТ 08:30-17:30, СБ 08:30-12:30, ВС выходной
8592/0723|2021-02-24 17:08:50|Белгородская область,город Короча,улица Дорошенко, дом 9А|ПН-ПТ 08:00-16:15, СБ 08:00-12:15, ВС выходной
8592/08592|2021-02-01 14:11:51|г Белгород, проспект Гражданский, дом 52|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8593/01|2021-02-01 14:11:48|г Липецк,улица Желябова, дом 17|ПН-СБ 09:00-21:00, ВС выходной
8593/0100|2021-06-21 15:41:13|Липецкая область,город Грязи,улица Советская, дом 67|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8593/0104|2021-10-27 09:11:31|Липецкая область,город Грязи,улица Толстовская, дом 2 корпус а|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8593/0105|2021-05-12 12:42:36|г Липецк,улица А.Г. Стаханова, дом 41|ПН-ПТ 08:30-19:00, СБ 09:00-14:00, ВС 09:00-13:30
8593/0107|2021-06-21 15:42:35|г Липецк,площадь Заводская, дом 8|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8593/0108|2021-05-12 12:42:36|г Липецк, проспект Победы, дом 2|ПН-ПТ 08:30-18:30, СБ 09:00-13:30, ВС выходной
8593/0113|2021-09-21 12:27:14|г Липецк, проспект Имени 60-летия СССР, дом 2Б|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной
8593/019|2020-09-28 03:14:25|г Липецк,площадь Мира, дом 2, кв 2А|ПН-ПТ 09:00-18:00, СБ 08:30-14:30, ВС выходной
8593/0200|2021-03-30 18:30:22|Липецкая область,город Данков,улица Карла Маркса, дом 35|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8593/0204|2021-12-13 14:19:30|Липецкая область,город Данков,улица Ленина, дом 9|ПН-ПТ 08:30-17:30, СБ 09:00-12:30, ВС выходной
8593/0208|2021-03-30 18:30:21|Липецкая область, п Лев Толстой,улица М.Горького, дом 1|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8593/0213|2021-03-22 12:52:18|Липецкая область,город Чаплыгин,улица Московская, дом 30|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной
8593/022|2021-10-27 09:13:35|г Липецк,улица 6-й Гвардейской дивизии, дом 4|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
8593/028|2021-05-12 12:42:36|г Липецк,улица Ушинского, дом 9|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8593/03|2021-10-27 09:13:35|г Липецк,улица Ангарская, дом 3|ПН-ПТ 08:30-18:30, СБ 08:30-14:00, ВС выходной
8593/0300|2021-03-30 18:30:22|Липецкая область,город Задонск,улица Советская, дом 15|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8593/0308|2021-03-22 12:52:18|Липецкая область, с Хлевное,улица Ленинская, дом 8А|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8593/0400|2021-03-22 12:52:18|Липецкая область,город Лебедянь,улица Почтовая, дом 23|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной
8593/0407|2021-02-24 17:08:33|Липецкая область, с Красное,улица Первомайская, дом 13А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8593/0411|2021-08-17 12:37:27|Липецкая область, с Доброе,площадь Октябрьская, дом 12|ПН-ПТ 08:00-16:00, СБ 08:30-13:00, ВС выходной
8593/0424|2022-11-14 14:41:08|Липецкая область,город Лебедянь,улица Школьная, дом 3А|ПН выходной, ВТ-ПТ 08:30-17:50, СБ 08:30-14:00, ВС выходной
