Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота|Адрес
8592/01|2020-09-28 03:14:26|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной|100.0|50.59264998444945|36.5962100199406|г Белгород,улица Князя Трубецкого, дом 24
8592/010|2021-02-01 14:11:51|ПН-ПТ 09:00-18:00, СБ 10:00-13:30, ВС выходной|98.62|50.61571999947341|36.58259001401373|г Белгород,улица Некрасова, дом 5Б/8
8592/0100|2020-09-25 10:59:46|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной|96.08|50.62789001996995|38.68997003822119|Белгородская область,город Алексеевка, пер 1-й Мостовой, дом 2
8592/012|2021-02-01 14:11:51|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|100.0|50.63255999732417|36.57629000794901|г Белгород,улица Железнякова, дом 18А
8592/0127|2021-02-24 17:08:57|ПН-ПТ 08:00-16:30, СБ 08:30-13:30, ВС выходной|95.92|50.65026002035023|38.40224997997387|Белгородская область,город Бирюч,улица Карла Маркса, дом 4
8592/014|2021-02-01 14:11:51|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной|90.0|50.64108998777395|36.57136501119069|г Белгород, проспект Б.Хмельницкого, дом 160
8592/0141|2021-05-12 12:41:30|ПН-ПТ 09:00-18:00, СБ-ВС выходной|85.29|50.63333000000006|38.66667000000007|Белгородская область,город Алексеевка,улица Ст.Разина, дом 56
8592/016|2021-06-21 15:41:13|ПН-ПТ 09:30-18:30, СБ-ВС выходной|89.66|50.58090675453952|36.56254493734213|г Белгород,улица Апанасенко, дом 97
8592/017|2021-10-27 09:13:36|ПН-ПТ 09:00-17:30, СБ 09:30-13:30, ВС выходной|100.0|50.56492998291037|36.56036003332602|г Белгород,улица Буденного, дом 2А
8592/018|2021-12-13 14:19:30|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной|100.0|50.56175001457416|36.56520997014138|г Белгород, бульвар Юности, дом 10
8592/020|2021-05-12 12:42:37|ПН-ПТ 08:30-17:30, СБ-ВС выходной|100.0|50.57744998977401|36.59037998718694|г Белгород,улица Костюкова, дом 63
8592/0200|2021-02-24 17:08:56|ПН-ПТ 08:15-16:45, СБ 09:00-14:00, ВС выходной|94.98|50.21518975333243|38.09214767343676|Белгородская область,город Валуйки,улица М.Горького, дом 31А
8592/0201|2021-06-21 15:41:13|ПН-ПТ 08:00-17:00, СБ-ВС выходной|95.65|50.21353028454133|38.10114556576504|Белгородская область,город Валуйки,улица 1 Мая, дом 30А
8592/0211|2021-09-21 12:27:15|ПН-ПТ 08:30-17:30, СБ-ВС выходной|99.25|50.08281574704554|38.03021592212794|Белгородская область, Валуйский район , пгт Уразово,улица Красная площадь, дом 4А
8592/0217|2021-02-24 17:08:37|ПН-ПТ 08:00-17:00, СБ-ВС выходной|98.54|50.14888998593617|38.44561995866039|Белгородская область, п Вейделевка,улица Центральная, дом 17А
8592/0227|2021-10-27 09:13:36|ПН-ПТ 08:00-17:00, СБ-ВС выходной|97.44|49.9130917506054|38.892617304272|Белгородская область, п Ровеньки,улица Кирова, дом 22
8592/027|2021-09-21 12:27:15|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|100.0|50.67636000955306|36.55862003404582|Белгородская область, Белгородский район , пгт Северный,улица Олимпийская, дом 20А
8592/03|2021-02-01 14:11:51|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной|100.0|50.60206998633316|36.59568003220284|г Белгород, проспект Белгородский, дом 54
8592/030|2020-11-03 09:55:58|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной|100.0|50.53086001916364|36.6888499989588|Белгородская область, Белгородский район , пгт Разумное, проспект Ленина, дом 6А
8592/0300|2021-02-24 17:08:54|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной|96.36|51.2825000198942|37.52279999550564|Белгородская область,город Губкин,улица Севастопольская, дом 2Б
8592/0315|2021-10-27 09:13:36|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной|95.05|51.28469092791519|37.52593875367455|Белгородская область,город Губкин,улица Дзержинского, дом 80
8592/0317|2021-05-12 12:42:37|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной|95.92|51.27451001260175|37.50982003170523|Белгородская область,город Губкин,улица Королева, дом 14А
8592/0319|2021-02-24 17:08:54|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.45|51.28339001037338|37.53372999724641|Белгородская область,город Губкин,улица Мира, дом 20
8592/032|2021-10-27 09:13:36|ПН-ПТ 09:00-17:30, СБ-ВС выходной|99.84|50.53725997942371|36.58351998617104|Белгородская область, Белгородский район , п Дубовое,улица Зеленая, дом 16
8592/0320|2020-11-03 09:55:58|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной|100.0|51.03202000308411|36.73253999870855|Белгородская область, пгт Прохоровка,улица Красноармейская, дом 2
8592/035|2021-09-21 12:27:14|ПН-ПТ 09:00-17:30, СБ-ВС выходной|99.84|50.52313001850766|36.45631002097218|Белгородская область, Белгородский район , п Майский,улица Кирова, дом 14А
8592/04|2020-12-24 14:56:45|ПН-ПТ 09:00-18:00, СБ 10:00-13:00, ВС выходной|100.0|50.59535997947461|36.57482996423488|г Белгород,улица Победы, дом 124
8592/040|2021-10-27 09:13:36|ПН выходной, ВТ-СБ 08:30-17:00, ВС выходной|100.0|50.44894432347218|36.35897247941054|Белгородская область, Белгородский район , пгт Октябрьский,площадь Островского, дом 2Б
8592/0400|2021-02-24 17:08:46|ПН-ПТ 08:30-17:00, СБ 08:30-12:30, ВС выходной|91.86|50.78541128152398|37.88033958917603|Белгородская область,город Новый Оскол,площадь Центральная, дом 5
8592/0414|2021-02-24 17:08:36|ПН-ПТ 08:30-17:30, СБ-ВС выходной|98.54|50.942850006252|37.80493996935195|Белгородская область, п Чернянка,улица Октябрьская, дом 1А
