ID точки|Адрес|Тип Пункта|Название пункта приема/выдачи|Время работы|Широта|Долгота
8952-002|город Надым,Ямало-Ненецкий авт. округ, Ленинградский пр-кт, д. 22|ПВЗ|ПВЗ: PickPoint: 8952-002: ТЦ Надым|Пн-Пт: 10-19 (обед: 14-15); Сб: 10-14; Вс: Выходной|65.531224|72.526401
7801-003|город Санкт-Петербург,Ленинградская обл., Заневский пр-кт, д 38 литера А|Постамат|Постамат: PickPoint: 7801-003: ТК Нео|Ежедневно: 10-21|59.933014|30.431185
7801-004|город Санкт-Петербург,Ленинградская обл., Ленинский пр-кт, д 128 к 2 литера А|Постамат|Постамат: PickPoint: 7801-004: ТК Нарва|Ежедневно: 10-21|59.852425|30.268419
7701-001|город Москва,Московская обл., Ореховый б-р, д. 14, к. 3|Постамат|Постамат: PickPoint: 7701-001: ТЦ Домодедовский|Ежедневно: 10-22|55.609675|37.720106
7701-012|город Москва,Московская обл., Рязанский пр-кт, д. 2, к. 2|Постамат|Постамат: PickPoint: 7701-012: ТЦ Город|Ежедневно: 10-22|55.729833|37.731021
7701-006|город Москва,Московская обл., Алтуфьевское шоссе, д. 70, к. 1|Постамат|Постамат: PickPoint: 7701-006: ТЦ Маркос Молл|Ежедневно: 10-22|55.888202|37.588287
7701-009|город Москва,Московская обл., Люблинская ул., д. 153|Постамат|Постамат: PickPoint: 7701-009: ТК Л-153|Ежедневно: 10-22|55.658959|37.742099
7701-007|город Москва,Московская обл., Строгинский б-р, д. 1|Постамат|Постамат: PickPoint: 7701-007: ТЦ Дарья|Ежедневно: 10-21|55.806039|37.395572
7701-014|город Москва,Московская обл., Гарибальди ул., д. 23|Постамат|Постамат: PickPoint: 7701-014: ТЦ Панорама|Ежедневно: 10-21|55.671498|37.553792
7801-001|город Санкт-Петербург,Ленинградская обл., Энгельса пр-кт, д. 124, к. 1, лит. А|Постамат|Постамат: PickPoint: 7801-001: ТРК Вояж|Ежедневно: 10-21|60.039022|30.323495
5001-696|город Балашиха,Московская обл., Павлино мкр., д. 35, стр. 1|Постамат|Постамат: PickPoint: 5001-696: Торговый Центр|Ежедневно: 10-21|55.726543|37.969308
5905-175|город Пермь,Пермский край, Серпуховская ул., д. 17|Постамат|Постамат: Халва: 5905-175: Wildberries|Ежедневно: 10-21|57.969241|56.264864
5405-231|город Новосибирск,Новосибирская обл., Фасадная ул., д. 15/1|Постамат|Постамат: Халва: 5405-231: Faberlic|Пн-Вт: 11-19; Ср: 11-18; Чт: 11-19; Пт: 11-18; Сб: 11-15; Вс: Выходной|54.988727|82.81963
7702-729|город Москва,Московская обл., Новороссийская ул., д. 19|ПВЗ|ПВЗ: PickPoint: 7702-729|Ежедневно: 10-20|55.674926|37.758779
6415-031|город Энгельс,Саратовская обл., Ленина ул., д. 2|Постамат|Постамат: PickPoint: 6415-031: Магазин Глория|Ежедневно: 8-22|51.503023|46.117144
5002-959|город Волоколамск,Московская обл., Фабричная ул., д. 23|ПВЗ|ПВЗ: Ozon: 5002-959|Ежедневно: 9-21|56.062534|35.925101
5002-961|город Зеленоград,Московская обл., к. 2008|ПВЗ|ПВЗ: Ozon: 5002-961|Ежедневно: 9-21|55.973924|37.162818
7701-016|город Москва,Московская обл., Митинская ул., д. 40|Постамат|Постамат: PickPoint: 7701-016: ТЦ Митино|Ежедневно: 10-22|55.847832|37.360287
2301-004|город Краснодар,Краснодарский край, Стасова ул., д. 182/1|Постамат|Постамат: PickPoint: 2301-004: ТРК Меридиан|Ежедневно: 9-22|45.024961|39.044863
7801-014|город Санкт-Петербург,Ленинградская обл., ул Народная, д 3 к 1 литера А|Постамат|Постамат: PickPoint: 7801-014: ТК Штрих Код|Ежедневно: 10-21|59.878419|30.460739
7801-006|город Санкт-Петербург,Ленинградская обл., Комендантский пр-кт, д. 9, к. 2, лит. А|Постамат|Постамат: PickPoint: 7801-006: ТЦ Модный променад|Ежедневно: 10-21:30|60.004883|30.262912
7801-015|город Санкт-Петербург,Ленинградская обл., Гражданский пр-кт, д. 41Б|Постамат|Постамат: PickPoint: 7801-015: ТЦ Академ Парк|Ежедневно: 10-21|60.012174|30.398585
3801-001|город Иркутск,Иркутская обл., Свердлова ул., д. 36|Постамат|Постамат: PickPoint: 3801-001: ТЦ Сезон|Ежедневно: 9-19|52.286336|104.288512
4901-001|город Магадан,Магаданская обл., Основная трасса 2 км, д. 1|Постамат|Постамат: PickPoint: 4901-001: ТЦ Мегамаг|Ежедневно: 10-22|59.571473|150.809907
6301-001|город Самара,Самарская обл., Московское шоссе, д. 106|Постамат|Постамат: PickPoint: 6301-001: ТЦ Hoff|Ежедневно: 10-22|53.223658|50.189334
