Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда|Точность|Широта|Долгота
PS1|2020-03-31 00:00:00|Воронежская область,город Воронеж, бульвар Победы, дом 22а|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.92|51.71336999242817|39.16708003690795
PS10|2020-03-31 00:00:00|Приморский край,город Владивосток, проспект Красного Знамени, дом 59|ПН-ПТ 09:00-19:00, СБ 10:00-16:30, ВС выходной|НЕТ|96.55|43.12731001671744|131.9070799704209
PS101|2020-03-31 00:00:00|г Москва, Старопетровский проезд, дом 1 строение 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|91.22|55.82315998888723|37.50080998870581
PS102|2020-03-31 00:00:00|г Москва, Тимирязевский район , Дмитровское шоссе, дом 65 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|89.2|55.84841001119855|37.56628002858082
PS103|2020-03-31 00:00:00|г Москва, Коровинское шоссе, дом 20 корпус 1|ПН-ПТ 08:30-19:30, СБ 09:00-15:30, ВС выходной|НЕТ|92.0|55.87962436050076|37.52167269540571
PS105|2020-03-31 00:00:00|г Москва, Чертаново Южное район ,улица Академика Янгеля, дом 4 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|89.82|55.59612000621675|37.59320001937132
PS107|2020-03-31 00:00:00|г Москва, Лубянский проезд, дом 17|ПН-ПТ 10:00-20:00, СБ-ВС выходной|НЕТ|100.0|55.75601998053307|37.63324003556428
PS109|2020-03-31 00:00:00|Московская область,город Королёв, мкр Юбилейный,улица М.К.Тихонравова, дом 36|ПН-ПТ 09:00-18:30, СБ 10:00-15:00, ВС выходной|НЕТ|89.59|55.93654999785895|37.8459399649156
PS11|2020-03-31 00:00:00|Иркутская область,город Иркутск, Кировский район ,улица Нижняя Набережная, дом 10|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.82|52.29290001666774|104.2873900310543
PS110|2020-03-31 00:00:00|Тульская область,город Тула,улица Вильямса, дом 22|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.24|54.20615998292629|37.68711002435867
PS111|2020-03-31 00:00:00|Тульская область,город Тула, Центральный район , поселок Южный,улица Автомобилистов, дом 26|ПН-ПТ 08:00-18:30, СБ 09:00-14:00, ВС выходной|НЕТ|97.42|54.10199000000006|37.60539000000006
PS112|2020-03-31 00:00:00|Ивановская область,город Иваново, проспект Ленина, дом 116|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.92|57.02067998099173|40.96905997068112
PS113|2020-03-31 00:00:00|Ивановская область,город Иваново,улица Бубнова, дом 47|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.65|56.9949899925827|40.99199000792206
PS115|2020-03-31 00:00:00|Ярославская область,город Ярославль,улица Индустриальная, дом 37|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной|НЕТ|96.43|57.55123001874946|39.93158001449498
PS116|2020-03-31 00:00:00|Владимирская область,город Владимир,улица Мира, дом 25|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.65|56.13965998223966|40.40167997609902
PS117|2020-03-31 00:00:00|Пермский край,город Пермь, Индустриальный район ,улица Мира, дом 45|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.09|57.9768299953904|56.18338996366757
PS118|2020-03-31 00:00:00|г Санкт-Петербург, Московский проспект , дом 172|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|59.87725001754112|30.32098002281086
PS120|2020-03-31 00:00:00|Брянская область,город Брянск, проспект Ленина, дом 10Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.65|53.23703997919199|34.35903999691786
PS121|2020-03-31 00:00:00|Воронежская область,город Воронеж, Московский проспект , дом 5|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.91|51.67980998367062|39.18418004139522
PS123|2020-03-31 00:00:00|Свердловская область,город Екатеринбург, Чкаловский район ,улица Щербакова, дом 20|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.29|56.78339999484987|60.654849987782
PS124|2020-03-31 00:00:00|Свердловская область,город Екатеринбург, Железнодорожный район ,улица Мельковская, дом 2Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.35|56.84991999382615|60.60314001543594
PS126|2020-03-31 00:00:00|Челябинская область,город Челябинск,улица 40-летия Победы, дом 44|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.36|55.17547000440558|61.31232999326303
PS128|2020-03-31 00:00:00|Пермский край,город Пермь, Свердловский район ,улица Революции, дом 7|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.12|58.00660000089863|56.27032999706935
PS129|2020-03-31 00:00:00|Пермский край,город Пермь, Мотовилихинский район ,улица Ивана Франко, дом 46|ПН-ВС 06:00-23:00|НЕТ|99.21|58.06195999871099|56.35973003523412
PS13|2020-03-31 00:00:00|Нижегородская область,город Нижний Новгород,улица Коминтерна, дом 4/2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.93|56.3368900196333|43.88406000280941
PS130|2020-03-31 00:00:00|Республика Татарстан,город Казань, Вахитовский район ,улица Бутлерова, дом 44|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|55.78921001208442|49.13877996110301
PS132|2020-03-31 00:00:00|г. Казань, улица Чистопольская, дом 26|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.81934269715268|49.11663497291349
PS134|2020-03-31 00:00:00|Нижегородская область,город Нижний Новгород, Нижегородский район ,улица Белинского, дом 38|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.35|56.31044000215383|43.99796998314466
PS135|2020-03-31 00:00:00|Нижегородская область,город Нижний Новгород, Советский район ,улица Ванеева, дом 24|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.29|56.30881001535283|44.02336999961332
PS136|2020-03-31 00:00:00|Пермский край,город Пермь, Свердловский район ,улица Героев Хасана, дом 8|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.17|57.99320001993013|56.25551003788388
PS137|2020-03-31 00:00:00|Нижегородская область,город Нижний Новгород,улица Березовская, дом 95|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|96.67|56.33501000066056|43.87435996154062
PS138|2020-03-31 00:00:00|Омская область,город Омск, Центральный округ,улица Герцена, дом 232 корпус 1|ПН-ВС 06:00-23:59|НЕТ|98.1|55.02372998046863|73.37655997526673
PS139|2020-03-31 00:00:00|Омская область,город Омск, Кировский округ,улица 70 лет Октября, дом 12 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|98.15|54.98577001736768|73.31304995963026
PS14|2020-03-31 00:00:00|Самарская область,город Тольятти,улица Юбилейная, влд 55|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|92.4|53.50898001506411|49.2780300272992
PS141|2020-03-31 00:00:00|г. Красноярск, улица Сурикова, дом 12|ПН-ВС 06:00-23:59|НЕТ|100.0|56.01022998616577|92.8770599760474
PS143|2020-03-31 00:00:00|Красноярский край,город Красноярск, Центральный район ,улица Дмитрия Мартынова, дом 18|ПН-ВС 06:00-23:59|НЕТ|99.32|56.03850000819122|92.87691002379961
PS145|2020-03-31 00:00:00|Волгоградская область,город Волгоград, Советский район ,улицаимени Тулака, дом 40|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.71|48.67555001688913|44.46882004126385
PS146|2020-03-31 00:00:00|Волгоградская область,город Волгоград, Советский район , тер Рабочий поселок Горьковский,улица Волгоградская, дом 13|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.8|48.68697999915432|44.32214000463586
PS147|2020-03-31 00:00:00|Волгоградская область,город Волгоград,улицаименимаршала Еременко, дом 98|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|85.08|48.77560999187438|44.55290997612892
PS149|2020-03-31 00:00:00|Самарская область,город Самара, Октябрьский район ,улица Ново-Садовая, дом 151|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|53.21656001415874|50.15033997136649
PS15|2020-03-31 00:00:00|Новосибирская область,город Новосибирск, Дзержинский район ,улица Кошурникова, дом 8/1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.18|55.04294000335176|82.95133001308483
PS150|2020-03-31 00:00:00|Самарская область,город Самара, Советский район ,улица Гагарина, дом 161|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.17|53.20141001753575|50.2260200074995
PS156|2020-03-31 00:00:00|г Москва, район Дорогомилово, Кутузовский проспект , дом 32|ПН 09:00 - 18:00; ВТ 09:00 - 18:00; СР 09:00 - 18:00; ЧТ 09:00 - 18:00; ПТ 09:00 - 16:45; СБ  - ; ВС  - |НЕТ|94.0|55.74040998506379|37.53209996853587
PS17|2020-03-31 00:00:00|Свердловская область,город Екатеринбург,улица Тверитина, дом 34|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.36|56.82298001219658|60.62632000102957
PS19|2020-03-31 00:00:00|Ростовская область,город Ростов-на-Дону,улица Евдокимова, дом 37|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|96.3|47.27403998248002|39.71237002858535
PS2020|2020-03-31 00:00:00|г. Москва, бульвар Цветной, д. 2|ПН 09:00 - 20:00; ВТ 09:00 - 20:00; СР 09:00 - 20:00; ЧТ 09:00 - 20:00; ПТ 09:00 - 20:00; СБ 10:00 - 15:00; ВС  - |НЕТ|97.28|55.76822998270777|37.62317999155408
PS26|2020-03-31 00:00:00|Ивановская область,город Иваново,улица Лежневская, дом 157|ПН-ВС 00:00-23:59|НЕТ|96.0|56.97228999667442|40.97479000732991
PS27|2020-03-31 00:00:00|Тульская область,город Тула, Центральный район , Крестовоздвиженская пл, дом 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.9|54.19620001884002|37.61756000929398
PS30|2020-03-31 00:00:00|г Москва, Алтуфьевское шоссе, дом 8|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.85281000745147|37.58579997233386
PS31|2020-03-31 00:00:00|г Москва, район Южное Бутово, бульвар Адмирала Ушакова, дом 5|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|94.08|55.54698998366808|37.55266999711873
PS32|2020-03-31 00:00:00|г Москва, Каширское шоссе, дом 26 корпус 2|ПН-ПТ 10:00-19:00, СБ 11:00-16:00, ВС выходной|НЕТ|91.52|55.65320001247022|37.64605998883306
PS35|2020-03-31 00:00:00|Московская область,город Домодедово,улица Советская, дом 1|ПН-ПТ 09:00-19:00, СБ 09:00-16:00, ВС выходной|НЕТ|96.0|55.43925000607933|37.77079000033942
PS36|2020-03-31 00:00:00|г Москва, Таганский район ,улица Земляной Вал, дом 41 строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|87.31|55.75392002042099|37.65741998220673
PS38|2020-03-31 00:00:00|г Москва, район Якиманка,улица Шаболовка, дом 10 корпус 2|ПН-СБ 10:00-20:00, ВС выходной|НЕТ|87.85|55.72348000748244|37.61037001275008
PS39|2020-03-31 00:00:00|г Москва, район Замоскворечье,улица Новокузнецкая, дом 16-18/10 строение 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|86.51|55.73705998982166|37.62977998593345
PS40|2020-03-31 00:00:00|Ярославская область,город Ярославль,улица Советская, дом 34|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.08|57.63567999826543|39.88297000521933
PS42|2020-03-31 00:00:00|г Москва,улица Селезневская, дом 30 корпус Б-В|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|91.35|55.78095863356967|37.61064342658373
PS46|2020-03-31 00:00:00|г Москва,улица Саянская, дом 18|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.76691000059569|37.83430999044063
PS48|2020-03-31 00:00:00|г Москва, район Кузьминки, Волгоградский проспект , дом 119А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|94.08|55.70628000689032|37.76537001028908
PS49|2020-03-31 00:00:00|г Москва, район Выхино-Жулебино,улица Генерала Кузнецова, дом 28 корпус 1|ПН-ПТ 09:00-19:30, СБ 09:00-16:30, ВС выходной|НЕТ|90.24|55.68292110009898|37.85284965365567
PS52|2020-03-31 00:00:00|г Москва,улица Матвеевская, дом 2|ПН-ПТ 08:30-20:30, СБ 09:00-16:30, ВС выходной|НЕТ|100.0|55.70538000003685|37.47917001018263
PS53|2020-03-31 00:00:00|г Москва, район Щукино,улица Народного Ополчения, дом 39 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|89.2|55.79113966365717|37.48922644798848
PS55|2020-03-31 00:00:00|г Москва, Коровинское шоссе, дом 21 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|92.0|55.87640196875137|37.52475094930748
PS56|2020-03-31 00:00:00|г Москва,улица Римского-Корсакова, дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.86940001504001|37.59127000234614
PS9|2020-03-31 00:00:00|Хабаровский край,город Хабаровск,улица Гамарника, дом 12|ПН-ПТ 09:00-18:30, СБ-ВС выходной|НЕТ|95.83|48.46995999499688|135.0773299928183
PS163|2020-07-16 00:00:00|Астраханская область,город Астрахань,улица Космонавта Комарова, строение 65Г|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|87.63|46.35693999769023|48.11846002383086
PS169|2020-07-16 00:00:00|Волгоградская область,город Волжский, проспект имени Ленина, дом 120А|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|90.68|48.78653999361515|44.59134997082472
PS188|2020-07-16 00:00:00|Ростовская область,город Ростов-на-Дону, Буденновский проспект , дом 85|ПН-ПТ 08:30-19:00, СБ 08:30-15:30, ВС выходной|НЕТ|96.61|47.23055999131432|39.70265003838699
PS167|2020-07-23 00:00:00|Астраханская область,город Астрахань,улица Кубанская, дом 64|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.15|46.3258134517469|48.03923755423325
PS168|2020-07-23 00:00:00|Астраханская область,город Астрахань,улица Парковая, дом 27|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ|96.08|46.28244000779577|47.93935995918667
PS194|2020-07-23 00:00:00|г Москва, Савеловский район , Петровско-Разумовский проезд, дом 24 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|90.37|55.80188180720368|37.56447008318551
PS202|2020-07-23 00:00:00|г Москва, район Соколиная Гора,улица Щербаковская, дом 53 строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.28|55.78361002066342|37.73809999122196
PS203|2020-07-23 00:00:00|г Москва, район Северное Измайлово, Сиреневый бульвар , дом 29/45 корпус 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.77|55.80315226371948|37.79762211594828
PS205|2020-07-23 00:00:00|г Москва, район Вешняки,улица Вешняковская, дом 18А|ПН-ВС 10:00-21:00|НЕТ|93.41|55.72335000416419|37.82515996965819
PS271|2020-07-23 00:00:00|г Москва, Можайское шоссе, дом 28|ПН-ПТ 09:00-19:00, СБ-ВС выходной|НЕТ|100.0|55.7202300083452|37.42159999786949
PS272|2020-07-23 00:00:00|г Москва,улица Демьяна Бедного, дом 5|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ|100.0|55.77273001697506|37.48698001610441
PS279|2020-07-23 00:00:00|г Москва,улица Борисовские Пруды, дом 12 корпус 1|ПН-ПТ 10:30-20:00, СБ 11:00-17:00, ВС выходной|НЕТ|93.0|55.63653179523097|37.74193774678377
PS164|2020-07-24 00:00:00|Астраханская область,город Астрахань,улица Николая Островского, дом 152А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.83|46.33803000503127|48.0676100347506
PS195|2020-07-24 00:00:00|г Москва, Бескудниковский район , Дмитровское шоссе, дом 64 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.31|55.85515984471946|37.56248197065486
PS196|2020-07-24 00:00:00|г Москва, Дмитровское шоссе, дом 98|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.87935000466152|37.54716995989307
PS211|2020-07-24 00:00:00|г Москва, Ярославское шоссе, дом 28|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.86070999310385|37.69394001816119
PS216|2020-07-24 00:00:00|г Москва,улица Шипиловская, дом 32|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.61993001756255|37.71905002077997
PS286|2020-07-24 00:00:00|г Москва,улица Краснопрудная, дом 11|ПН-ПТ 08:30-20:30, СБ 09:00-17:00, ВС выходной|НЕТ|100.0|55.77938998387168|37.66492999981386
PS288|2020-07-24 00:00:00|г Москва, Сокольническая пл, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.79041998171732|37.68039000112583
PS296|2020-07-24 00:00:00|г Москва,улица Смольная, дом 7|ПН-ПТ 08:30-19:30, СБ 09:00-16:00, ВС выходной|НЕТ|100.0|55.84570999063817|37.4993399705269
PS300|2020-07-24 00:00:00|г Москва,город Зеленоград, район Савелки, Савёлкинский проезд, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.66|55.99113001767134|37.21841000822297
PS304|2020-07-24 00:00:00|г Москва,улица Нагатинская, дом 16|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.67877998840007|37.64291996026549
PS312|2020-07-24 00:00:00|г Москва, район Южное Тушино,улица Сходненская, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.79|55.83948998983925|37.43745998360097
PS316|2020-07-24 00:00:00|г Москва, поселение Сосенское, Новомосковский округ, поселок Коммунарка,улица Александры Монаховой, дом 5 корпус 2|ПН-ПТ 08:30-20:00, СБ 09:00-16:00, ВС выходной|НЕТ|81.67|55.57245998902826|37.47558004105258
PS338|2020-07-24 00:00:00|г Москва,улица Енисейская, дом 29|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.87293001165284|37.6645499643239
PS340|2020-07-24 00:00:00|г Москва,улица Кантемировская, дом 3 корпус 5 строение 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|86.09|55.50375998276462|36.92483996829245
PS198|2020-07-25 00:00:00|г Москва, Мичуринский проспект , дом 26|ПН-ПТ 08:30-19:30, СБ 09:00-17:00, ВС выходной|НЕТ|100.0|55.69991998639884|37.50081996317058
PS206|2020-07-25 00:00:00|г Москва,улица Дмитриевского, дом 21|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.70946999160083|37.89461996308276
PS267|2020-07-25 00:00:00|г Москва, район Текстильщики, Волгоградский проспект , дом 63|ПН-ПТ 09:00-20:00, СБ 09:30-17:00, ВС выходной|НЕТ|97.93|55.70997001403475|37.73537997982248
PS274|2020-07-25 00:00:00|г Москва, Ломоносовский район , Ленинский проспект , дом 89/2|ПН-ПТ 09:00-19:30, СБ 10:00-17:00, ВС выходной|НЕТ|91.43|55.6779000142952|37.53163996968959
PS281|2020-07-25 00:00:00|г Москва, Можайский район , Можайское шоссе, дом 41 корпус 1|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ|88.07|55.71706001447376|37.41159996828605
PS284|2020-07-25 00:00:00|г Москва,улица Миклухо-Маклая, дом 55|ПН-ПТ 08:30-19:30, СБ 09:00-16:00, ВС выходной|НЕТ|100.0|55.64124000055773|37.53324996565155
PS291|2020-07-25 00:00:00|г Москва,улица Пронская, дом 2|ПН-ПТ 09:00-20:00, СБ 09:00-15:00, ВС выходной|НЕТ|100.0|55.70319001828469|37.84569999102769
PS305|2020-07-25 00:00:00|г Москва, Волжский бульвар , дом 7|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.71650001952261|37.74564001604247
PS317|2020-07-25 00:00:00|г Москва, поселение Мосрентген, поселок завода Мосрентген, дом 32|ПН выходной, ВТ-ПТ 09:00-18:30, СБ 09:00-13:45, ВС выходной|НЕТ|88.89|55.62029999476871|37.47277998247779
PS290|2020-07-26 00:00:00|г Москва, район Замоскворечье,улица Люсиновская, дом 26-28 корпус 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|88.1|55.72537955986686|37.6220165910432
PS320|2020-07-26 00:00:00|г Москва,улица Каховка, дом 23|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.6545100201175|37.5745200261355
PS321|2020-07-26 00:00:00|г Москва,улица Стромынка, дом 19 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|91.52|55.79449612455313|37.69808443716167
PS330|2020-07-26 00:00:00|г Москва,улица Кировоградская, дом 8 корпус 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|92.43|55.62720023607944|37.61100216512465
PS341|2020-07-26 00:00:00|г Москва, Волгоградский проспект , дом 92|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.70424999376024|37.77036000870652
PS165|2020-07-27 00:00:00|Астраханская область,город Астрахань,улица Немова, дом 34А|ПН-ПТ 08:30-18:00, СБ-ВС выходной|НЕТ|94.9|46.28059061653409|47.969507551153
PS176|2020-07-27 00:00:00|Волгоградская область,город Волжский, проспект имени Ленина, дом 97|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной|НЕТ|90.37|48.76654999273202|44.56005001652989
PS181|2020-07-27 00:00:00|Ростовская область,город Азов,улица Кондаурова, дом 63|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ|95.65|47.09554999465846|39.43055996644802
PS184|2020-07-27 00:00:00|Ростовская область,город Шахты, пер Красный Шахтер, дом 68|ПН-ПТ 08:00-17:30, СБ 09:00-13:30, ВС выходной|НЕТ|95.83|47.7084399935363|40.21834998401735
PS208|2020-07-27 00:00:00|г Москва,улица Гиляровского, дом 39 строение 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|90.53|55.78350000818423|37.63204997295145
PS276|2020-07-27 00:00:00|г Москва,улица Михалковская, дом 24|ПН-ПТ 09:00-20:30, СБ 09:00-17:00, ВС выходной|НЕТ|100.0|55.83981998536728|37.52810004052151
PS282|2020-07-27 00:00:00|г Москва, Преображенское район , Преображенская пл, дом 7А строение 1|ПН 08:30-20:00, ВТ-ВС 09:00-21:00|НЕТ|88.28|55.79536314340203|37.71018379070605
PS289|2020-07-27 00:00:00|г Москва,улица Новослободская, дом 16|ПН-ВС 09:00-21:00|НЕТ|100.0|55.78166001279916|37.59941000379595
PS319|2020-07-27 00:00:00|г Москва,улица Митинская, дом 47|ПН-ПТ 09:00-20:00, СБ 09:00-17:00, ВС выходной|НЕТ|100.0|55.85105001733223|37.35247997443773
PS323|2020-07-27 00:00:00|г Москва, Щёлковское шоссе, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|55.80393001707455|37.7604899824413
PS326|2020-07-27 00:00:00|г Москва, район Митино, 3-й Митинский пер, дом 6 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|87.14|55.84775002014254|37.35201997559145
PS337|2020-07-27 00:00:00|г Москва, район Аэропорт, Ленинградский проспект , дом 76 корпус 2|ПН-ПТ 08:30-20:00, СБ 09:00-17:00, ВС выходной|НЕТ|89.2|55.80561000192799|37.51530003618231
PS160|2020-07-28 00:00:00|Астраханская область,город Астрахань,улица Дзержинского, строение 59А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|86.9|46.34989999530367|47.99909996241288
PS199|2020-07-28 00:00:00|г Москва, Гагаринский район , Ленинский проспект , дом 75/9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|92.97|55.68696001343753|37.54501002726377
PS210|2020-07-28 00:00:00|г Москва,улица Бажова, дом 24 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|90.67|55.83603999849225|37.66500996317018
