Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота
8592/0211|2021-09-21 12:27:15|Белгородская область, Валуйский район , пгт Уразово,улица Красная площадь, дом 4А|ПН-ПТ 08:30-17:30, СБ-ВС выходной|99.25|50.08281574704554|38.03021592212794
8592/030|2020-11-03 09:55:58|Белгородская область, Белгородский район , пгт Разумное, проспект Ленина, дом 6А|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной|100.0|50.53086001916364|36.6888499989588
8592/0300|2021-02-24 17:08:54|Белгородская область,город Губкин,улица Севастопольская, дом 2Б|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной|96.36|51.2825000198942|37.52279999550564
8592/0315|2021-10-27 09:13:36|Белгородская область,город Губкин,улица Дзержинского, дом 80|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной|95.05|51.28469092791519|37.52593875367455
8592/0317|2021-05-12 12:42:37|Белгородская область,город Губкин,улица Королева, дом 14А|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной|95.92|51.27451001260175|37.50982003170523
8592/0600|2021-02-24 17:08:42|Белгородская область,город Старый Оскол,улица Ленина, дом 49/44|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной|94.72|51.29865999394033|37.83336995999952
8592/0616|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Горняк, дом 15|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной|95.92|51.28567998823044|37.81067998046552
8592/0621|2021-10-27 09:13:35|Белгородская область,город Старый Оскол, мкр Жукова, дом 39|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной|95.92|51.31075000917107|37.88478002784996
8592/0625|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Ольминского, дом 17|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной|96.3|51.3094400015238|37.87373997172048
8592/0625|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Ольминского, дом 17|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной|96.3|51.3094400015238|37.87373997172048
